分数,本段人数,累计人数
500分及以上,27,27
499,7,34
498,7,41
497,12,53
496,22,75
495,27,102
494,26,128
493,29,157
492,40,197
491,54,251
490,63,314
489,69,383
488,86,469
487,106,575
486,110,685
485,115,800
484,128,928
483,134,1062
482,148,1210
481,146,1356
480,146,1502
479,146,1648
478,154,1802
477,152,1954
476,163,2117
475,180,2297
474,152,2449
473,165,2614
472,202,2816
471,159,2975
470,174,3149
469,188,3337
468,153,3490
467,156,3646
466,146,3792
465,149,3941
464,161,4102
463,178,4280
462,151,4431
461,130,4561
460,153,4714
459,149,4863
458,149,5012
457,170,5182
456,153,5335
455,173,5508
454,147,5655
453,128,5783
452,131,5914
451,135,6049
450,139,6188
449,134,6322
448,142,6464
447,126,6590
446,126,6716
445,126,6842
444,114,6956
443,123,7079
442,129,7208
441,103,7311
440,124,7435
439,92,7527
438,99,7626
437,101,7727
436,106,7833
435,110,7943
434,122,8065
433,107,8172
432,88,8260
431,78,8338
430,83,8421
429,79,8500
428,76,8576
427,77,8653
426,85,8738
425,95,8833
424,74,8907
423,69,8976
422,60,9036
421,68,9104
420,54,9158
419,48,9206
418,69,9275
417,58,9333
416,51,9384
415,61,9445
414,63,9508
413,40,9548
412,48,9596
411,47,9643
410,47,9690
409,52,9742
408,36,9778
407,41,9819
406,47,9866
405,50,9916
404,26,9942
403,31,9973
402,34,10007
401,40,10047
400,26,10073
399,38,10111
398,25,10136
397,29,10165
396,24,10189
395,28,10217
394,26,10243
393,20,10263
392,24,10287
391,21,10308
390,18,10326
389,21,10347
388,19,10366
387,23,10389
386,12,10401
385,14,10415
384,21,10436
383,15,10451
382,11,10462
381,22,10484
380,12,10496
379,18,10514
378,18,10532
377,11,10543
376,14,10557
375,18,10575
374,16,10591
373,14,10605
372,12,10617
371,11,10628
370,5,10633
369,12,10645
368,7,10652
367,8,10660
366,8,10668
365,9,10677
364,14,10691
363,9,10700
362,11,10711
361,5,10716
360,12,10728
359,10,10738
358,12,10750
357,9,10759
356,10,10769
355,8,10777
354,6,10783
353,7,10790
352,4,10794
351,5,10799
350,9,10808
349,8,10816
348,3,10819
347,9,10828
346,6,10834
345,2,10836
344,4,10840
343,4,10844
342,7,10851
341,4,10855
340,3,10858
339,5,10863
338,8,10871
337,5,10876
336,2,10878
335,5,10883
334,3,10886
333,2,10888
332,1,10889
331,2,10891
330,3,10894
329,5,10899
328,4,10903
327,1,10904
326,3,10907
325,,10907
324,1,10908
323,4,10912
322,1,10913
321,6,10919
320,2,10921
319,,10921
318,1,10922
317,2,10924
316,2,10926
315,4,10930
314,1,10931
313,2,10933
312,1,10934
311,1,10935
310,4,10939
309,4,10943
308,4,10947
307,1,10948
306,3,10951
305,1,10952
304,1,10953
303,1,10954
302,6,10960
301,1,10961
300,1,10962
300分以下,538,11500
